"","(Intercept)","age","age2","age3","sexF","hcc_date_init1","sodium_lab_miss1","sodium_lab","sodium_lab2","creat_lab_miss1","creat_lab","creat_lab2","creat_lab3","platelet_lab_miss1","platelet_lab","platelet_lab2","platelet_lab3","albumin_lab_miss1","albumin_lab","albumin_lab2","inr_lab_miss1","inr_lab","inr_lab2","inr_lab3","bilirubin_lab_miss1","bilirubin_lab","bilirubin_lab3","myocardial_date_init1","heart_fail_date_init1","periph_date_init1","cerebro_date_init1","dementia_date_init1","pulmonary_date_init1","rheumatic_date_init1","ulcer_date_init1","diab_unc_date_init1","paralysis_date_init1","diab_com_date_init1","malignancy_date_init1","meta_cancer_date_init1","aids_date_init1","renal_mild_date_init1","renal_severe_date_init1","etiology_m0nALD","etiology_m0nMETALD","etiology_m0nHCV","etiology_m0nHBV","etiology_m0nBiliary","etiology_m0nOther","etiology_m0n2+ Etiologies","etiology_m0nUnknown"
"(Intercept)",6.98495692579266,-0.000357674253316633,0.000379791823071318,-0.000035969509924551,-0.000455871064054472,0.000068868061414404,-6.8545022338372,-0.0517226791064679,0.0549341621973144,-0.00862932044521102,-0.015830727388707,0.0149995250224283,-0.000271858959081102,-0.00496303748842583,-0.0000365728435000264,0.0000198554227247775,0.0000196779251079495,-0.00213027744966097,-0.000834022745518038,0.000360968296288383,-0.0987270111373034,-0.0896569534801855,0.104529172534847,-0.0154340774528936,0.000253602171358701,0.0000776836595218551,0.000153626136353841,0.00022132871486816,0.0000779376009421766,-0.0000303091025233604,-0.000201979299447372,-0.000272495210037432,-0.000232244481353037,0.000127066983209246,0.000205491792161573,0.000182234765070664,0.000519197206055832,0.0000926368287869333,0.0000539043888422613,0.0000850002069058382,-0.0176053954723037,-0.000247860629522854,0.000121848850230007,-0.00162671718275588,-0.000564665068502448,0.0000711972698713812,0.00014935627792739,0.000254769145441225,0.00020810071205092,-0.0000529502317804835,-0.000814408173578896
"age",-0.000357674253316633,0.00000834239478914885,-0.0000102232332495141,0.00000233216863602792,0.000000287795601747119,0.000000794767839433171,0.00000699822204188591,0.000000048761582617883,0.00000000874721620295743,-0.00000379134410860002,-0.00000745299968817088,0.00000802512139819916,-0.000000786558520111149,0.00000156932520876337,0.00000000607549209884991,0.00000000558965841336621,-0.0000000194304876146302,0.00000080985043919096,0.000000366320538943013,-0.000000587827312647633,-0.000000214659577344924,-0.000000327445521064204,0.000000677001527232273,-0.000000163880714412187,-0.000000060789847696373,0.000000272019126378935,0.0000000578988592714707,-0.000000475874498884592,0.000000133645988100101,0.000000110730171210775,-0.000000152584091699593,-0.000000350665934463282,-0.000000345035064094057,-0.000000687874266762016,-0.000000477169107357531,-0.00000152323231292753,-0.00000000269726595850757,0.0000000833753991539004,-0.000000398236645711609,-0.000000728876118166839,-0.00000376798915430531,0.000000205547167212465,-0.000000151762219939747,0.00000113375029354506,-0.00000143154095766254,-0.00000137965852376738,-0.000000907415863207062,0.0000000551929925830717,0.00000158549390261288,0.0000016667735307143,0.0000137313390914765
"age2",0.000379791823071318,-0.0000102232332495141,0.000014284636020756,-0.00000544253918044727,-0.000000740430488544633,-0.0000024319023224185,0.0000289093591335762,0.000000227801811843457,-0.000000383623525926237,0.00000556630538581582,0.000010403379177937,-0.0000139058537559672,0.0000041072063522189,-0.00000254178175849729,-0.0000000225772702854426,0.0000000210336746644844,0.00000000602720882490682,-0.00000153362655263997,-0.000000461324546600786,0.00000110356274802515,-0.000000546732480996921,-0.000000517034964296085,0.00000233139033622015,-0.0000023510923496524,0.000000200796800452028,-0.000000186855019373664,0.00000014252727103717,0.000000361778657954345,-0.000000243116131904165,-0.00000117651078279757,-0.000000192701155298684,0.000000937778985401212,0.0000000874977910976752,0.00000119768303924779,0.0000011859721505389,0.00000135147681054666,0.000000968605141268276,-0.00000111350948027601,-0.000000629682108899598,0.0000013089450616308,0.00000773153912651459,-0.000000408724718153162,0.00000107038803291201,0.00000137167234146959,0.00000168757672037533,-0.000000417782320897952,0.00000168090629669336,0.000000119614884468457,-0.00000115191250030283,-0.000000339422792691474,-0.0000117046845221867
"age3",-0.000035969509924551,0.00000233216863602792,-0.00000544253918044727,0.00000628823789394479,-0.000000837025637416812,0.00000192515784864949,-0.0000364744977625078,-0.000000279142712060453,0.000000332548357922179,0.0000000822919382118983,0.00000222408601986741,-0.00000355572953238067,0.00000212626486915053,0.0000002576656351058,0.00000000746590691308677,-0.0000000185921974266165,0.0000000168564427986274,0.0000000770885508707151,-0.0000000127068137929742,-0.00000043514994700861,0.000000566836651225009,0.00000124606372595998,-0.00000799206903727102,0.00000758349368292673,-0.000000569126863622845,-0.000000783548683537317,0.000000513247029815115,-0.00000023197731745848,-0.00000210305821836143,-0.0000022938377792389,-0.00000234492140353092,-0.00000861640010127303,0.00000054398119497202,-0.000000148121689406917,-0.00000122472010034234,0.00000117060330570654,0.000000412216717535456,0.00000127533038788058,-0.00000134957441667405,0.000000139272538462034,-0.00000102006938186557,-0.00000326127938163946,0.000000147900750642043,-0.00000026053547079834,0.00000195385326162065,0.00000644525838863309,0.000000404843996561503,-0.000000461927571528435,-0.000000100430108541327,0.00000206215820187629,-0.000000115626992548614
"sexF",-0.000455871064054472,0.000000287795601747119,-0.000000740430488544633,-0.000000837025637416812,0.000208086283859401,0.0000293284776078826,0.000284429283065802,0.00000220125446160244,-0.00000488883614931038,0.00001217982479457,-0.0000551400343861075,0.000204498489949253,-0.000160802193745616,-0.0000129609634447384,-0.00000000414416956119765,-0.000000111145088212835,0.000000171773396710896,0.0000145145837215558,0.00000489431135089254,-0.00000816596759576092,0.0000331545093927747,0.0000296767022800944,-0.000023289907562789,-0.00000566170204891751,0.0000131402988381042,0.0000308290671018648,-0.0000322366325674982,0.0000210781028516109,0.00000831266941729653,0.0000144074980001017,0.000000067981754934878,-0.00000651466632786887,-0.0000121928612398276,-0.000039578800620407,-0.00000254351470438232,-0.000000358877387972029,0.00000329261611447506,-0.00000295327442179699,0.00000723888769963057,-0.00000821311213114923,0.0000221294695277614,-0.00000341399036874468,0.00000594084749786424,0.0000347781757472889,0.000043566784226663,0.0000268588367906909,0.000031254991917902,-0.0000488425652139512,-0.0000137179350292837,0.0000115604714039148,0.00000585807689641523
"hcc_date_init1",0.000068868061414404,0.000000794767839433171,-0.0000024319023224185,0.00000192515784864949,0.0000293284776078826,0.00179616956433675,-0.000162404448172999,-0.00000130844588388358,0.00000270627230953014,0.0000239302607388118,0.0000311191600532006,-0.0000239789634608379,-0.00000987228579126828,-0.0000213444526929581,-0.0000000959912810055322,0.000000053528413248698,0.00000000822334515497667,0.00000717857381062001,0.00000241007399872337,0.000013854125265516,0.000066926970269433,0.0000430168653018249,-0.0000140204300770679,-0.0000362283464064972,-0.0000108171368235281,-0.000000845183697745167,0.00000211608452109753,0.00000724329040844155,0.0000164216412364789,0.00000882328844371958,0.0000169809477436722,0.0000065700496591681,0.0000172224834024324,0.0000131946100745721,0.0000128984087805161,0.00000238037429131405,0.0000137648646364343,-0.00000335610530541244,-0.000388062245494493,0.0000221656608319533,0.0000412633586964795,0.0000100731978049738,0.0000195655429442577,0.00000150500946033201,-0.000000335169086884507,-0.0000817130848494244,-0.000134216410895086,0.00000730893629683117,-0.0000155625766953445,-0.000070970554799956,-0.0000174604338610295
"sodium_lab_miss1",-6.8545022338372,0.00000699822204188591,0.0000289093591335762,-0.0000364744977625078,0.000284429283065802,-0.000162404448172999,6.86049094329046,0.0517598384129542,-0.0549770626827585,-0.00476711183390175,-0.00519467232554395,0.00621177995812482,0.000143107547131532,0.000798201753412159,-0.00000110081015616131,0.0000111414610363277,-0.00000781788339396417,0.00163007417925634,0.000447175101818949,0.000490355398558625,-0.00504040330537775,-0.00510074049664102,0.00627338656933663,-0.00138308246245565,0.000428418792966758,0.00128671529978945,-0.00143007543765714,-0.000194414693620187,-0.0000575242375352272,0.00000635501496838034,0.000271281778508025,0.000391605369371403,0.000211973743043236,-0.000172678138628166,-0.000179994032360439,-0.000248000466374807,-0.000570981322362235,-0.000121218731735295,-0.0000572449953125791,-0.0000613094751439038,0.0176293288465885,0.000220892183027221,-0.0000901780091273913,0.0014259816743685,0.000544073979210446,-0.000152736146229509,-0.000293847379952287,-0.000516273397171138,-0.000372356912598815,-0.000309038786616287,0.0000518066332605151
"sodium_lab",-0.0517226791064679,0.000000048761582617883,0.000000227801811843457,-0.000000279142712060453,0.00000220125446160244,-0.00000130844588388358,0.0517598384129542,0.000390839518210713,-0.000416074986186977,-0.0000292794038406391,-0.000078059556636187,0.0000867063501142603,0.000000359963701678756,0.00000442960942824551,-0.000000037068646810836,0.000000109774249708299,-0.0000000545761839329168,0.0000155696114891044,0.00000311746279949106,0.00000566804869205568,-0.0000399788163638087,-0.0000399484017305056,0.0000484912064311639,-0.0000101562682420186,0.00000511777637776926,0.00000854408392082748,-0.0000096528575361986,-0.00000148606418903696,-0.000000541236978974881,0.000000112686222747603,0.0000020732265053407,0.0000029684098964045,0.00000164568652134621,-0.00000108971861307148,-0.00000123816274595195,-0.00000202635306901581,-0.00000425178664106888,-0.000000997810651037505,-0.00000033521643719541,-0.000000561218497558809,0.000131929470488578,0.00000162728094918791,-0.000000881877469863362,0.0000105015436993349,0.0000039640623384421,-0.0000011486907887054,-0.00000201986769352074,-0.00000373052868285417,-0.00000277254202395964,-0.00000224543820824262,0.00000045286676832585
"sodium_lab2",0.0549341621973144,0.00000000874721620295743,-0.000000383623525926237,0.000000332548357922179,-0.00000488883614931038,0.00000270627230953014,-0.0549770626827585,-0.000416074986186977,0.000462906582547698,0.000028826972345249,0.0000859141182876433,-0.000104972145245387,0.0000103715583311089,0.00000467835818924523,0.0000000636630163200423,-0.0000000922191310182316,0.0000000146995783070382,-0.0000271013047313201,-0.0000113995100905022,0.00000576312715968717,0.0000420856629953235,0.0000389472161445365,-0.0000489579707233557,0.0000117066834277504,0.000000929066754600212,-0.0000014455019961559,0.00000397779256920635,0.00000160459531203672,0.00000057470048388601,-0.000000364914370117688,-0.00000267091213795028,-0.00000384897709385484,-0.00000181468872111711,0.000000893192337012492,0.000000659104416544637,0.00000382175668789334,0.00000413647275642334,0.00000167036026427453,-0.000000563792479106724,0.0000000313607333490362,-0.000134084355488529,-0.00000297355829835574,0.000000716734164503526,-0.00000851914634675831,-0.000000917921522884122,0.00000167646043083046,0.000000154333290719289,0.00000400199621770603,0.0000042336351869359,0.00000327083191777255,-0.00000083738138217987
"creat_lab_miss1",-0.00862932044521102,-0.00000379134410860002,0.00000556630538581582,0.0000000822919382118983,0.00001217982479457,0.0000239302607388118,-0.00476711183390175,-0.0000292794038406391,0.000028826972345249,0.0191441305646556,0.029732544594703,-0.0303662976614567,0.000681158150281784,-0.00336749073916247,-0.0000322348835050913,0.0000322970383183948,0.000000352648612110237,-0.00109117777595322,-0.000262366946180641,0.000592021403910803,-0.000646287827801117,-0.000586170318935967,0.000729237091085375,-0.000146162021792639,-0.000486209889183451,-0.000602893988316749,0.000626593547233622,0.0000173400817859395,0.0000144960314373594,0.0000170885283509659,-0.0000098518665529313,-0.0000307646285082017,0.00000541716525872139,0.0000121515269068838,0.00000959673975087808,0.00000617237505201934,0.0000277763561870538,0.0000079388155915199,-0.00000340690464716641,0.00000909895947896149,-0.000142499748832327,0.0000112303622953632,-0.0000210468519789962,0.000013776526875243,0.0000147873837602409,-0.0000468452679735298,-0.0000151422649966584,-0.0000342766286052822,-0.0000183553411710049,-0.0000283267940485875,-0.0000036750829194383
